account,name,link
@konrad@scholar.social	Konrad M. Lawson
@jasongoroncy@scholar.social	Jason Goroncy
@vreinburg@mastodon.social	Virginia Reinburg 
@rinald@scholar.social	Rinald D'Souza
@PhDinProgress17@mastodon.scot	Sarah Beth Gable
@niklaskrawinkel@mastodon.social	Niklas Krawinkel
@hannahpalsa.mastodon.social	Hannah Palsa
@Hellawyn@mastodon.social	Maeva Berghmans
@chriscmartell@mastodon.social	Christopher Martell
@MargueriteHBC@mastodon.social	Nancy Marguerite Anderson
@sdfahrenthold@mastodon.social	Stacy Fahrenthold
@EricaBuchberger@mastodon.online	Erica Buchberger
@jtheibault@mastodon.social	John Theibault
@darwinsbulldog@mastodon.social	Michael D. Barton
@kateoconnor@mastodon.social	Kate O'Connor
@Rebecca_fachner@mastodon.social	Rebecca Fachner
@meg_smith0913@mstdn.social	Meg Smith
@jackdougherty@scholar.social	Jack Dougherty
@Airminded@mastodon.social 	Brett Holman
@besswww@mastodon.social	Bess Williamson
@nescioquid@mastodon.social	Matthew Jones
@bookish@mstdn.social	Leah Price
@purling4peas@mstdn.social	Amy Nelson
@franciscao@mastodon.social	Francis Cao
@jlbellwriter@mstdn.social	J. L. Bell
@jmadelman@mstdn.social	Joseph Adelman
@SJLahey@mastodon.social	Stephanie J Lahey (SJ Lahey)
@carolynaday@mastodon.social	Carolyn Day
@erazlogo@mastodon.social	elena razlogova
@L_Historienne@mastodon.social	Jamie LH Goodall
@DebHarkness@mastodon.social	Deborah Harkness
@jonrees@mastodon.social	Jonathan Rees
@Zeb_Larson@mstdn.social	Dr. Zeb Larson
@Kraemer_HB@mastodon.social 	Matthias Krämer
@claredoeshistory@mastodon.social	Clare Corbould
@electricarchaeo@scholar.social	Shawn Graham 
@cluesandcontext@mastodon.social	Ashlee L. Chism
@brian_gettler@mastodon.social	Brian Gettler
@prof_goldberg@mastodon.social	Daniel S. Goldberg
@malumdiscordiae@mastodon.social	Abigail Gruber (Abby)
@sarahebull@mastodon.social	Sarah Bull
@patrickleary@mstdn.social	Patrick Leary
@Radiobob@mstdn.social	Bob McWilliams
@jbf1755@mastodon.social	Joanne Freeman
@benbradleyca@mastodon.social	Ben Bradley
@joannadean@mastodon.social	Joanna Dean
@wragge@ausglam.space	Tim Sherratt
@WellingtonChineseHistory@cloudisland.nz	Wellington Chinese History 
@Kilderbenhauser@mastodon.social	Matt Fitzpatrick
@joshrgreenberg@mastodon.social	Joshua R Greenberg
@mette@mastodon.scot	Mette Bruinsma
@MichelleLKahn@mstdn.social	Michelle Lynn Kahn
@anwagnerdreas@mstdn.social	Andreas Wagner
@peterwebster@mastodon.social	Peter Webster
@sharonhoward@mastodon.social	Sharon Howard
@Bienengeschichte@mastodon.social	Max Grund 
@inactinique@mastodon.social	Frédéric Clavert 
@DavidKuchenbuch@mastodon.social	David Kuchenbuch
@zanna_vl@ioc.exchange 	Zanna Van Loon
@melinabuns@mastodon.social	Melina Antonia Buns
@jeroenputtevils@mastodon.nl	Jeroen Puttevils
sitasteckel@mastodon.online	Sita Steckel
@poorfrankraw@mastodon.art	Poor Frank Raw
Alexander Van Der Poll@Mastodon.nu	Alex
@maxlong@mastodon.social	Max Long
@mihatsch@scholar.social	Moritz Mihatsch
@histodon@mastodon.social	Andreas Frings
@autumnlinny@mastodon.social	Autumn Lorimer Linford
@Historeiter@bildung.social	Benjamin Reiter
@ablinka@mastodon.online	Abby Blinka
@brianleechphd@mastodon.social	Brian Leech
@drafm@mastodon.social	Amy Fuller
@scrivenersmith@mastodon.social	James Smith
@drsueoosthuizen@mastodon.social	Prof Susan Oosthuizen
@stwajda@mastodon.social	Shirley Wajda
@kevinmlevin@mastodon.social	Kevin M. Levin
@ljbriggs@matodon.online	Laura Briggs 
@m_rhett@mstdn.social	Maryanne Rhett
@clairepotter@mastodon.social	Claire Potter
@LibbyJ1853@mstdn.social	Libby Jones
@elizabethward@mastodon.social	Elizabeth Ward
@lexhvv01@mas.to	Lex Heerma van Voss
@alexander_engel@mastodon.social	Alexander Engel
@DrCWeissenberg@mstdn.social	Dr C Weissenberg 
@marklargent@mastsdon.social	Mark Largent
@poliscisara@mastodon.social	Sara Chatfield
@moritz_hoffmann@mas.to	Moritz Hoffmann
@cartulaire21@mastodon.social	François Rivière 
@kellyodonn@mastodon.social	Kelly O'Donnell
@chuckwooldridge@mastodon.online	Chuck Wooldridge
@zanna_vl@mastodon.online	Zanna Van Loon
@barkivist@mstdn.social	Erin Lawrimore
@KirstenLeng@mstdn.social	Kirsten Leng
@amassaro@fosstodon.org	Angelo Massaro
mareike2405@scholar.social	Mareike König
danrueck	Daniel Rück
@JubalBarca@Scholar.Social	James Baillie
@jjhysell@nerdculture.de	Jesse Hysell
@adinab@mastodon.social	Adina Popescu Berk
@history_mk@mastodon.social	Mario Kliewer
@joanne_paul_@dreamers-guild.net	Dr Joanne Paul
@tomaashby@mstdn.social	Tom Ashby
@annieo@mastodon.online	Anne O. Albert
@bjoernklein@mstdn.social	Dr. Björn Klein
@NBarreyre@mastodon.online	Nicolas Barreyre
@vadane@mastodon.zaclys.com	Virginie Adane
@ruddiman@mastodon.social	Jake Ruddiman
@ameliedelasheras@mastodon.social	Amélie de las Heras
@FKlemstein@digitalcourage.social	I want to connect with other (art)historians on Mastodon.
@StephenMoore@mstdn.social	Stephen I Moore
@simon@mastodon.gal	Simon Doubleday 
@carolinepennock@mastodon.social	Caroline Pennock
@FraukeSt@norden.social	Frauke Steinhäuser
@distanthead@mastodon.social	Inho Choi
@jillianefoley@mastodon.social	Jillian Foley
@Nette@mstdn.social	Lynette White
@kerileighmerritt@mastodon.social	Keri Leigh Merritt
@drhistorybrad@mastodon.social	Bradley J. Sommer
@LHaasis@mastodon.social	Dr. Lucas Haasis
@johannneem@mastodon.social	Johann Neem
@npcox@mstdn.social 	Nicholas Cox
@Achim@social.anoxinon.de	Achim Klüppelberg
@LDelap@mastodon.social	Lucy Delap
@adina@nerdculture.com	Adina Popescu Berk
@mjfuhlhage@mastodon.social	mjfuhlhage
@sabinaleonelli@mstdn.social	Sabina Leonelli
@domwass@scholar.social	Dominik Waßenhoven
@Janetfromanotherplanet@mastodon.social	Alix Cummings
@miriamkp@mastodon.social	Miriam Posner
@melishafez	Melis Hafez
@StephanieOpperman@scholar.social	Stephanie Opperman 
@historian@mastodin.social	Olivette Otele
@BeachHistorian@mastodon.top	Elsa Devienne 
@DBasaldella@mastodon.online	Dennis Basaldella
@ethanmark@mastodon.online	Ethan Mark
@beukeleir@mstdn.social	Maite De Beukeleer
@lottekosthorst@eupublic.social	Lotte Kosthorst
@aaronm@mastodon.cc	Aaron Macks
@jpnudell@scholar.social	Josh Nudell
@organologist@mastodon.green	Tom Quick
@cameroncampbell@mstdn.social	Cameron D. Campbell
@johnerik_h@mstdn.social	John-Erik Hansson
@msdettelbach@mastodon.online	Michael Dettelbach
@robrakove@mastodon.social	Rob Rakove
@joshuaclarkdavis@mastodon.social	Joshua Clark Davis
@koutianqi@mstdn.social	Tianqi Kou
@martinevanelk@c.im	Martine Van Elk
@Quatrus@kolektiva.social	Karen Carr
@pauldavidson@mas.to	Paul Davidson
@gewam@mstdn.social	Georg Wamhof
@RouseW@mstdn.socia	Wendy Rouse
@jason_m_kelly@fediscience.org	Jason M. Kelly
@MartinCWinter@mstdn.social	Martin Clemens Winter
@historianess@mastodon.sdf.org 	Rebecca Anne Goetz
@christinaproenzacoles@mastodon.social 	Christina Proenza-Coles
@SFWamPearl@sciences.re	Emmanuelle Perez Tisserant
@DerGuenther@bonn.social	Christian Günther
@MonicaAzzolini@scholar. social	Monica Azzolini
https://mastodon.social/@FashAshLilith	@FashAshLilith
@Dansquizzero@mastodon.online	Dan Squizzero
@richardabailey@mstdn.social	Richard A. Bailey
@SayakaChatani@scholar.social 	Sayaka Chatani
@tseguragarcia@mastodon.online	Teresa Segura-Garcia
@RBrightHistory@mastadon.social	Rachel Bright 
@cktai@scholar.social	Chaokang Tai 
@stefandumont@openbiblio.social	Stefan Dumont
@howard@mastodon.lol	Howard Chiang
@micahcarlson@mstdn.social	Micah Carlson
